,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
155,0.50110928125,0.46776534375,0.93,0.01,100,0.3,6.999999999999995,-3.114998536102676,0.5191789237199826,0.9988701810619002,-5.809142990314028,-3.061952824168523,0.4828168063614027,0.9983144532160196
156,0.3828570625,0.589430625,0.93,0.01,120,0.16,8.399999999999995,-4.645298119095675,0.7354554772532728,0.9972188257490555,-6.437751649736401,-4.595762815058072,0.700367675974142,0.9956686808780212
157,0.44273721875,0.5285465625,0.93,0.01,120,0.2,8.399999999999995,-4.1496682697892,0.7057828255109247,0.9991016118903121,-6.214608098422191,-4.075350211200311,0.6637952411669441,0.9967966770253163
158,0.550619,0.41809575,0.93,0.01,120,0.3,8.399999999999995,-3.346296136999126,0.6036552027192699,0.9985974833907912,-5.809142990314028,-3.1935693212574074,0.5018369829634404,0.9977898234368009
159,0.49241853125,0.47962521875,0.93,0.01,180,0.16,12.59999999999999,-5.570741064688856,0.9841711547444504,0.9955893216879347,-6.437751649736401,-5.4457626851183685,0.9262099207573457,0.9860171339744022
160,0.5514739375,0.41953728125,0.93,0.01,180,0.2,12.59999999999999,-4.820253873441903,0.8797704768183197,0.9973133950076739,-6.214608098422191,-4.684642477480077,0.7976701763444302,0.9945538528584629
161,0.6493246875,0.31912834375,0.93,0.01,180,0.3,12.59999999999999,-3.8353824340338334,0.7271058763317368,0.998423490012748,-5.809142990314028,-3.575243787143812,0.5547242015753806,0.9969456747935334
162,0.521292125,0.45068059375,0.93,0.01,200,0.16,13.99999999999999,-5.701721358827654,0.9931476159868471,0.9952773902238092,-6.437751649736401,-5.284472062936712,0.7837933790962499,0.9904690113336643
163,0.5777738125,0.39318240625,0.93,0.01,200,0.2,13.99999999999999,-4.9837478157751685,0.9033837020378425,0.998246257323784,-6.214608098422191,-4.842726139000364,0.8211608832995585,0.9961293843042318
164,0.67235525,0.29604840625,0.93,0.01,200,0.3,13.99999999999999,-3.929722534628299,0.7340505398438943,0.9978114788785769,-5.809142990314028,-3.6418739369837314,0.5470146426181789,0.9953934600950893
165,0.17721221875,0.7725595625,0.93,0.1,50,0.16,3.4999999999999973,-3.2549152975220044,0.08282621078618078,0.9981248073027419,-4.135166556742356,-3.115274212889923,-0.0022163607490838775,0.9969481496971099
166,0.216309640625,0.72503125,0.93,0.1,50,0.2,3.4999999999999973,-2.898087778097578,0.09237189341960651,0.99872197449292,-3.912023005428146,-2.9488681706483866,0.11841748304755412,0.9956957517074365
167,0.29764659375,0.621475875,0.93,0.1,50,0.3,3.4999999999999973,-2.3766495047073213,0.08165354850911373,0.9987075653752009,-3.506557897319982,-2.4996401968931723,0.1750595778104857,0.9953408371857173
168,0.3234036875,0.6209369375,0.93,0.1,100,0.16,6.999999999999995,-4.396551815148606,0.6292751155320581,0.9986910212217351,-4.135166556742356,-4.192278933269185,0.5233450093134389,0.9945137385864425
169,0.3782025625,0.5566174375,0.93,0.1,100,0.2,6.999999999999995,-3.9055569058479813,0.5962801184861803,0.999060587172551,-3.912023005428146,-3.813982993435238,0.5458618088864179,0.9957728162351881
